id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,label
::,135,ff02::1:ff82:d82c,136,icmp,,137.068674,96.0,0.0,OTH,,,0,,4,288,0,0,,0
fe80::a6a0:4edb:5b04:2421,5353,ff02::fb,5353,udp,dns,17.223633,1764.0,0.0,S0,,,0,D,13,2388,0,0,,0
fe80::cefa:d17:c803:a932,5353,ff02::fb,5353,udp,dns,18.9902,1881.0,0.0,S0,,,0,D,15,2601,0,0,,0
fe80::65be:23ee:91ae:3d64,5353,ff02::fb,5353,udp,dns,30.205853,1989.0,0.0,S0,,,0,D,15,2709,0,0,,0
fe80::1dbe:feb1:22e9:dc18,5353,ff02::fb,5353,udp,dns,15.00969,1089.0,0.0,S0,,,0,D,11,1617,0,0,,0
fe80::cefa:d17:c803:a932,5353,ff02::fb,5353,udp,dns,30.558053,2043.0,0.0,S0,,,0,D,16,2811,0,0,,0
::,135,ff02::1:ffe2:f40,136,icmp,,45.567586,48.0,0.0,OTH,,,0,,2,144,0,0,,0
::,135,ff02::1:ff76:3a38,136,icmp,,,,,OTH,,,0,,1,72,0,0,,0
fe80::61c6:94de:db82:d82c,5353,ff02::fb,5353,udp,dns,14.878329,2243.0,0.0,S0,,,0,D,23,3347,0,0,,0
fe80::7483:a268:3eb4:ebe2,5353,ff02::fb,5353,udp,dns,15.05105,2432.0,0.0,S0,,,0,D,21,3440,0,0,,0
fe80::41bd:b7f5:fbfe:d4aa,133,ff02::2,134,icmp,,145.939036,0.0,0.0,OTH,,,0,,12,576,0,0,,0
fe80::6444:b5fa:e91b:3bad,5353,ff02::fb,5353,udp,dns,13.878973,1639.0,0.0,S0,,,0,D,15,2359,0,0,,0
::,143,ff02::16,0,icmp,,237.11422,10640.0,0.0,OTH,,,0,,255,24920,0,0,,0
::,135,ff02::1:ff37:efa1,136,icmp,,137.400943,96.0,0.0,OTH,,,0,,4,288,0,0,,0
fe80::a6a0:4edb:5b04:2421,5353,ff02::fb,5353,udp,dns,19.163759,1668.0,0.0,S0,,,0,D,12,2244,0,0,,0
fe80::65be:23ee:91ae:3d64,5353,ff02::fb,5353,udp,dns,31.005696,2013.0,0.0,S0,,,0,D,18,2877,0,0,,0
fe80::9ddc:fa6a:86f5:d907,5353,ff02::fb,5353,udp,dns,26.207794,2051.0,0.0,S0,,,0,D,18,2915,0,0,,0
fe80::1bd1:de1c:ff80:5acd,5353,ff02::fb,5353,udp,dns,32.822164,2107.0,0.0,S0,,,0,D,18,2971,0,0,,0
fe80::1bd1:de1c:ff80:5acd,143,ff02::16,0,icmp,,0.288107,100.0,0.0,OTH,,,0,,4,324,0,0,,0
fe80::e603:75b:a507:9fd4,133,ff02::2,134,icmp,,143.000497,0.0,0.0,OTH,,,0,,12,576,0,0,,0
::,135,ff02::1:ff31:afe9,136,icmp,,134.252634,96.0,0.0,OTH,,,0,,4,288,0,0,,0
fe80::4d4e:3cdf:4a22:6ae2,143,ff02::16,0,icmp,,135.998437,400.0,0.0,OTH,,,0,,16,1296,0,0,,0
::,135,ff02::1:ffe2:f40,136,icmp,,134.911801,96.0,0.0,OTH,,,0,,4,288,0,0,,0
fe80::7483:a268:3eb4:ebe2,133,ff02::2,134,icmp,,143.001207,0.0,0.0,OTH,,,0,,12,576,0,0,,0
fe80::61c6:94de:db82:d82c,5353,ff02::fb,5353,udp,dns,6.923919,1460.0,0.0,S0,,,0,D,10,1940,0,0,,0
fe80::9be:2564:da31:afe9,5353,ff02::fb,5353,udp,dns,15.005718,1835.0,0.0,S0,,,0,D,15,2555,0,0,,0
fe80::a6a0:4edb:5b04:2421,5353,ff02::fb,5353,udp,dns,17.223279,1764.0,0.0,S0,,,0,D,13,2388,0,0,,1
fe80::e11d:2c9f:afe2:f40,5353,ff02::fb,5353,udp,dns,,,,S0,,,0,D,1,210,0,0,,1
fe80::1dbe:feb1:22e9:dc18,5353,ff02::fb,5353,udp,dns,15.01939,1101.0,0.0,S0,,,0,D,11,1629,0,0,,1
fe80::65be:23ee:91ae:3d64,5353,ff02::fb,5353,udp,dns,3.775954,876.0,0.0,S0,,,0,D,6,1164,0,0,,1
::,135,ff02::1:ff76:3a38,136,icmp,,,,,OTH,,,0,,1,72,0,0,,1
fe80::b8:3d03:6803:f5f1,5353,ff02::fb,5353,udp,dns,15.003024,1075.0,0.0,S0,,,0,D,11,1603,0,0,,1
fe80::b930:71ec:9376:3a38,5353,ff02::fb,5353,udp,dns,,,,S0,,,0,D,1,93,0,0,,1
fe80::b8:3d03:6803:f5f1,5353,ff02::fb,5353,udp,dns,15.006472,1068.0,0.0,S0,,,0,D,11,1596,0,0,,1
fe80::48d8:d00b:e25d:718e,5353,ff02::fb,5353,udp,dns,15.010594,1110.0,0.0,S0,,,0,D,11,1638,0,0,,0
fe80::dc69:73aa:3adb:2e61,5353,ff02::fb,5353,udp,dns,15.071955,1540.0,0.0,S0,,,0,D,13,2164,0,0,,0
fe80::fa69:1b5e:b002:b080,5353,ff02::fb,5353,udp,dns,3.774961,938.0,0.0,S0,,,0,D,7,1274,0,0,,0
fe80::b8:3d03:6803:f5f1,143,ff02::16,0,icmp,,157.940332,440.0,0.0,OTH,,,0,,17,1392,0,0,,0
fe80::61a3:3a88:387c:3437,5353,ff02::fb,5353,udp,dns,16.05673,1316.0,0.0,S0,,,0,D,8,1700,0,0,,0
fe80::41bd:b7f5:fbfe:d4aa,5353,ff02::fb,5353,udp,dns,,,,S0,,,0,D,1,93,0,0,,0
::,135,ff02::1:ffae:3d64,136,icmp,,137.28017,96.0,0.0,OTH,,,0,,4,288,0,0,,1
fe80::65be:23ee:91ae:3d64,133,ff02::2,134,icmp,,145.001372,0.0,0.0,OTH,,,0,,12,576,0,0,,1
::,135,ff02::1:ff02:b080,136,icmp,,137.311864,96.0,0.0,OTH,,,0,,4,288,0,0,,1
fe80::e11d:2c9f:afe2:f40,5353,ff02::fb,5353,udp,dns,19.160389,1858.0,0.0,S0,,,0,D,15,2578,0,0,,1
fe80::a0c7:7d2:ff57:a2ad,5353,ff02::fb,5353,udp,dns,29.074378,1317.0,0.0,S0,,,0,D,15,2037,0,0,,1
fe80::3f23:7255:1837:efa1,5353,ff02::fb,5353,udp,dns,68.688689,8977.0,0.0,S0,,,0,D,77,12673,0,0,,1
fe80::4425:82b3:4f44:70f,5353,ff02::fb,5353,udp,dns,19.610149,1182.0,0.0,S0,,,0,D,12,1758,0,0,,1
fe80::b8:3d03:6803:f5f1,5353,ff02::fb,5353,udp,dns,7.005367,1079.0,0.0,S0,,,0,D,10,1559,0,0,,1
fe80::b930:71ec:9376:3a38,5353,ff02::fb,5353,udp,dns,,,,S0,,,0,D,1,93,0,0,,1
::,135,ff02::1:ff1b:3bad,136,icmp,,45.757511,48.0,0.0,OTH,,,0,,2,144,0,0,,1
::,135,ff02::1:ffe2:f40,136,icmp,,45.568767,48.0,0.0,OTH,,,0,,2,144,0,0,,1
fe80::61a3:3a88:387c:3437,5353,ff02::fb,5353,udp,dns,33.074826,4411.0,0.0,S0,,,0,D,39,6283,0,0,,1
::,135,ff02::1:ff74:181f,136,icmp,,,,,OTH,,,0,,1,72,0,0,,1
fe80::c806:7e6d:928b:8e0d,5353,ff02::fb,5353,udp,dns,9.664868,3291.0,0.0,S0,,,0,D,27,4587,0,0,,1
fe80::6444:b5fa:e91b:3bad,5353,ff02::fb,5353,udp,dns,17.435803,1889.0,0.0,S0,,,0,D,14,2561,0,0,,1
fe80::65be:23ee:91ae:3d64,133,ff02::2,134,icmp,,145.001515,0.0,0.0,OTH,,,0,,12,576,0,0,,1
fe80::b930:71ec:9376:3a38,133,ff02::2,134,icmp,,146.877649,0.0,0.0,OTH,,,0,,12,576,0,0,,1
fe80::caff:cf27:646c:22d,5353,ff02::fb,5353,udp,dns,,,,S0,,,0,D,1,210,0,0,,1
fe80::9be:2564:da31:afe9,5353,ff02::fb,5353,udp,dns,20.230476,1827.0,0.0,S0,,,0,D,14,2499,0,0,,1
fe80::9be:2564:da31:afe9,5353,ff02::fb,5353,udp,dns,29.501874,2043.0,0.0,S0,,,0,D,16,2811,0,0,,1
