id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,label
fe80::e11d:2c9f:afe2:f40,143,ff02::16,0,icmp,,138.174986,400.0,0.0,OTH,,,0,,16,1296,0,0,,0
fe80::caff:cf27:646c:22d,5353,ff02::fb,5353,udp,dns,,,,S0,,,0,D,1,94,0,0,,0
fe80::a6a0:4edb:5b04:2421,5353,ff02::fb,5353,udp,dns,17.223633,1764.0,0.0,S0,,,0,D,13,2388,0,0,,0
fe80::1dbe:feb1:22e9:dc18,133,ff02::2,134,icmp,,93.998192,0.0,0.0,OTH,,,0,,8,384,0,0,,0
::,135,ff02::1:ffe2:f40,136,icmp,,45.567586,48.0,0.0,OTH,,,0,,2,144,0,0,,0
fe80::65be:23ee:91ae:3d64,5353,ff02::fb,5353,udp,dns,3.776264,876.0,0.0,S0,,,0,D,6,1164,0,0,,0
fe80::1bd1:de1c:ff80:5acd,5353,ff02::fb,5353,udp,dns,17.117047,1751.0,0.0,S0,,,0,D,14,2423,0,0,,0
fe80::1dbe:feb1:22e9:dc18,133,ff02::2,134,icmp,,143.755408,0.0,0.0,OTH,,,0,,12,576,0,0,,0
fe80::caff:cf27:646c:22d,133,ff02::2,134,icmp,,143.001052,0.0,0.0,OTH,,,0,,12,576,0,0,,0
fe80::4d4e:3cdf:4a22:6ae2,133,ff02::2,134,icmp,,145.000675,0.0,0.0,OTH,,,0,,12,576,0,0,,0
fe80::41bd:b7f5:fbfe:d4aa,5353,ff02::fb,5353,udp,dns,16.882166,1855.0,0.0,S0,,,0,D,16,2623,0,0,,0
fe80::51c0:b0d7:fdeb:1439,5353,ff02::fb,5353,udp,dns,29.911511,1902.0,0.0,S0,,,0,D,15,2622,0,0,,0
fe80::c806:7e6d:928b:8e0d,5353,ff02::fb,5353,udp,dns,11.904177,1193.0,0.0,S0,,,0,D,8,1577,0,0,,0
fe80::caff:cf27:646c:22d,133,ff02::2,134,icmp,,144.001034,0.0,0.0,OTH,,,0,,12,576,0,0,,0
fe80::1bd1:de1c:ff80:5acd,143,ff02::16,0,icmp,,135.651559,400.0,0.0,OTH,,,0,,16,1296,0,0,,0
fe80::1bd1:de1c:ff80:5acd,5353,ff02::fb,5353,udp,dns,15.040085,1743.0,0.0,S0,,,0,D,14,2415,0,0,,0
fe80::a6a0:4edb:5b04:2421,143,ff02::16,0,icmp,,138.335903,400.0,0.0,OTH,,,0,,16,1296,0,0,,0
fe80::6444:b5fa:e91b:3bad,5353,ff02::fb,5353,udp,dns,,,,S0,,,0,D,1,210,0,0,,0
fe80::c806:7e6d:928b:8e0d,5353,ff02::fb,5353,udp,dns,25.64871,1808.0,0.0,S0,,,0,D,14,2480,0,0,,0
fe80::1bd1:de1c:ff80:5acd,5353,ff02::fb,5353,udp,dns,16.084044,1848.0,0.0,S0,,,0,D,14,2520,0,0,,0
fe80::e603:75b:a507:9fd4,5353,ff02::fb,5353,udp,dns,18.096841,1696.0,0.0,S0,,,0,D,14,2368,0,0,,0
fe80::6444:b5fa:e91b:3bad,143,ff02::16,0,icmp,,135.357088,400.0,0.0,OTH,,,0,,16,1296,0,0,,0
fe80::6444:b5fa:e91b:3bad,5353,ff02::fb,5353,udp,dns,20.323567,1720.0,0.0,S0,,,0,D,14,2392,0,0,,0
fe80::c806:7e6d:928b:8e0d,5353,ff02::fb,5353,udp,dns,24.42841,1856.0,0.0,S0,,,0,D,13,2480,0,0,,0
fe80::3f23:7255:1837:efa1,5353,ff02::fb,5353,udp,dns,4.158532,1174.0,0.0,S0,,,0,D,8,1558,0,0,,0
::,135,ff02::1:ff6c:22d,136,icmp,,135.105395,96.0,0.0,OTH,,,0,,4,288,0,0,,0
::,135,ff02::1:ff22:6ae2,136,icmp,,,,,OTH,,,0,,1,72,0,0,,0
fe80::65be:23ee:91ae:3d64,5353,ff02::fb,5353,udp,dns,31.023604,1625.0,0.0,S0,,,0,D,12,2201,0,0,,1
fe80::a6a0:4edb:5b04:2421,143,ff02::16,0,icmp,,139.105175,400.0,0.0,OTH,,,0,,16,1296,0,0,,1
fe80::a6a0:4edb:5b04:2421,5353,ff02::fb,5353,udp,dns,17.223279,1764.0,0.0,S0,,,0,D,13,2388,0,0,,1
